Line,mat,Generation,Rep,Dilution,dil_pipetted,Colonies,operator,conidia
1,A,5,1,10^-4,10,50,Pauliina,50000000
1,A,5,2,10^-4,10,35,Pauliina,35000000
1,A,5,3,10^-4,10,61,Pauliina,61000000
10,A,5,1,10^-4,10,35,Pauliina,35000000
10,A,5,2,10^-4,10,33,Pauliina,33000000
10,A,5,3,10^-4,10,56,Pauliina,56000000
10,A,20,1,10^-4,10,49,Pauliina,49000000
10,A,20,2,10^-4,10,54,Pauliina,54000000
10,A,20,3,10^-4,10,43,Pauliina,43000000
10,A,40,2,10^-4,10,27,Pauliina,27000000
10,A,40,3,10^-4,10,27,Pauliina,27000000
13,A,20,1,10^-4,10,8,Pauliina,8000000
13,A,20,2,10^-4,10,16,Pauliina,16000000
13,A,20,3,10^-4,10,20,Pauliina,20000000
28,a,5,1,10^-4,10,34,Pauliina,34000000
28,a,5,2,10^-4,10,29,Pauliina,29000000
28,a,5,3,10^-4,10,45,Pauliina,45000000
36,a,5,1,10^-4,10,61,Pauliina,61000000
36,a,5,2,10^-4,10,43,Pauliina,43000000
36,a,5,3,10^-4,10,42,Pauliina,42000000
40,a,40,1,10^-4,10,17,Pauliina,17000000
40,a,40,2,10^-4,10,14,Pauliina,14000000
40,a,40,3,10^-4,10,20,Pauliina,20000000
2489,A,anc.,1,10^-4,10,20,Pauliina,20000000
2489,a,anc.,1,10^-4,10,29,Pauliina,29000000
2489,A,anc.,2,10^-4,10,23,Pauliina,23000000
2489,a,anc.,2,10^-4,10,40,Pauliina,40000000
2489,A,anc.,3,10^-4,10,39,Pauliina,39000000
2489,a,anc.,3,10^-4,10,30,Pauliina,30000000
2489,A,anc.,4,10^-4,10,8,Pauliina,8000000
2489,a,anc.,4,10^-4,10,43,Pauliina,43000000
2489,A,anc.,5,10^-4,10,41,Pauliina,41000000
2489,a,anc.,5,10^-4,10,49,Pauliina,49000000
2489,A,anc.,6,10^-4,10,32,Pauliina,32000000
2489,a,anc.,6,10^-4,10,18,Pauliina,18000000
1,A,5,1,10^-4,10,27,Pauliina,27000000
1,A,5,2,10^-4,10,22,Pauliina,22000000
1,A,5,3,10^-4,10,30,Pauliina,30000000
10,A,5,1,10^-4,10,73,Pauliina,73000000
10,A,5,2,10^-4,10,84,Pauliina,84000000
10,A,5,3,10^-4,10,66,Pauliina,66000000
10,A,20,1,10^-4,10,54,Pauliina,54000000
10,A,20,2,10^-4,10,40,Pauliina,40000000
10,A,20,3,10^-4,10,68,Pauliina,68000000
10,A,40,1,10^-4,10,57,Pauliina,57000000
10,A,40,2,10^-4,10,65,Pauliina,65000000
10,A,40,3,10^-4,10,70,Pauliina,70000000
13,A,20,1,10^-4,10,23,Pauliina,23000000
13,A,20,2,10^-4,10,15,Pauliina,15000000
13,A,20,3,10^-4,10,13,Pauliina,13000000
28,a,5,1,10^-4,10,67,Pauliina,67000000
28,a,5,2,10^-4,10,53,Pauliina,53000000
28,a,5,3,10^-4,10,82,Pauliina,82000000
36,a,5,1,10^-4,10,43,Pauliina,43000000
36,a,5,2,10^-4,10,31,Pauliina,31000000
36,a,5,3,10^-4,10,62,Pauliina,62000000
40,a,40,1,10^-4,10,24,Pauliina,24000000
40,a,40,2,10^-4,10,55,Pauliina,55000000
40,a,40,3,10^-4,10,50,Pauliina,50000000
2489,A,anc.,1,10^-4,10,40,Pauliina,40000000
2489,a,anc.,1,10^-4,10,63,Pauliina,63000000
2489,A,anc.,2,10^-4,10,62,Pauliina,62000000
2489,a,anc.,2,10^-4,10,36,Pauliina,36000000
2489,A,anc.,3,10^-4,10,38,Pauliina,38000000
2489,a,anc.,3,10^-4,10,38,Pauliina,38000000
2489,A,anc.,4,10^-4,10,52,Pauliina,52000000
2489,a,anc.,4,10^-4,10,50,Pauliina,50000000
2489,A,anc.,5,10^-4,10,29,Pauliina,29000000
2489,a,anc.,5,10^-4,10,22,Pauliina,22000000
2489,A,anc.,6,10^-4,10,58,Pauliina,58000000
2489,a,anc.,6,10^-4,10,55,Pauliina,55000000
