Filename,nucleicount,hyphalwidth,area,media
211130_1,12,7.78,277.996,VM
211130_1,13,7.262,221.762,VM
211130_1,23,9.435,345.115,VM
211130_1,12,6.664,159.33,VM
211130_1,6,5.738,149.504,VM
211130_1,8,5.708,133.178,VM
211130_1,15,7.733,262.577,VM
211130_1,5,3.866,111.41,VM
211130_1,5,4.147,77.7,VM
211130_1,16,8.526,381.395,VM
211130_2,22,11.012,449.118,VM
211130_2,18,10.731,321.986,VM
211130_2,9,7.767,209.82,VM
211130_2,19,8.491,327.277,VM
211130_2,18,9.204,296.288,VM
211130_2,17,7.798,264.543,VM
211130_2,5,5.607,84.2,VM
211130_2,7,7.9,156.609,VM
211130_2,9,6.051,186.994,VM
211130_3,9,6.277,114.17,VM
211130_3,3,6.034,91.081,VM
211130_4,11,7.326,236.013,VM
211130_4,13,8.974,313.113,VM
211130_4,11,9.34,206.649,VM
211130_4,6,6.652,152.788,VM
211130_4,8,6.766,128.92,VM
211130_5,29,12.782,569.54,VM
211130_5,15,13.327,318.609,VM
211130_5,6,7.661,150.59,VM
211130_5,8,8.104,163.78,VM
211130_5,15,6.869,199.582,VM
211130_5,30,12.531,532.01,VM
211130_7,11,6.703,238.553,VM
211130_7,10,7.926,261.387,VM
211130_7,11,6.797,236.3,VM
211130_7,13,7.977,311.261,VM
211130_7,11,7.599,263.49,VM
211130_7,10,6.521,250.421,VM
211130_7,11,8.014,271.903,VM
211130_8,7,5.907,131.746,VM
211130_8,10,6.235,210.417,VM
211130_8,19,10.835,283.749,VM
211130_8,8,6.024,152.945,VM
211130_8,11,7.113,189.375,VM
211130_8,20,11.47,404.66,VM
211130_8,18,9.986,374.04,VM
211130_8,3,3.963,114.787,VM
211130_8,4,4.26,148.862,VM
211130_8,3,3.554,125.151,VM
211130_9,23,11.6,445.174,VM
211130_9,20,12.826,470.926,VM
211130_9,9,6.541,175.086,VM
211130_9,8,5.497,180.268,VM
211130_9,23,11.873,494.951,VM
211130_9,18,11.938,303.849,VM
211130_9,7,4.914,167.549,VM
211130_10,19,14.551,559.49,VM
211130_10,30,12.169,486.786,VM
211130_10,16,8.207,253.286,VM
211130_10,9,5.44,168.334,VM
211130_10,12,8.722,236.17,VM
211130_10,13,8.392,206.334,VM
211130_10,32,14.248,438.107,VM
211130_11,12,9.189,256.112,VM
211130_11,8,5.075,173.045,VM
211130_11,4,4.127,110.391,VM
211130_11,7,5.129,133.474,VM
211130_11,11,5.129,167.863,VM
211130_11,10,7.606,213.087,VM
211130_11,6,5.047,130.647,VM
211130_11,17,8.519,256.583,VM
211130_11,18,8.97,246.22,VM
211130_11,14,8.861,211.673,VM
211130_11,10,6.525,179.326,VM
211210_4,7,5.321,149.613,sorbose
211210_4,4,5.216,95.081,sorbose
211210_4,5,4.831,94.304,sorbose
211210_4,7,5.834,110.772,sorbose
211210_4,9,4.679,112.171,sorbose
211210_4,4,5.163,91.197,sorbose
211210_4,6,5.66,99.12,sorbose
211210_5,12,6.246,196.842,sorbose
211210_5,4,5.876,130.969,sorbose
211210_5,7,5.805,165.459,sorbose
211210_5,9,5.055,169.809,sorbose
211210_5,8,3.906,140.602,sorbose
211210_5,6,6.616,126.775,sorbose
211210_5,9,5.642,156.604,sorbose
211210_6,8,4.204,134.853,sorbose
211210_6,6,4.49,128.483,sorbose
211210_6,4,4.213,89.643,sorbose
211210_6,5,5.524,84.05,sorbose
211210_6,5,5,102.538,sorbose
211210_6,8,5.321,150.545,sorbose
211210_6,5,4.937,68.67,sorbose
211210_8,11,6.699,143.553,sorbose
211210_8,9,7.376,149.613,sorbose
211210_8,10,7.139,173.694,sorbose
211210_8,5,5.66,159.245,sorbose
211210_8,9,5.262,141.689,sorbose
211210_8,7,6.044,155.516,sorbose
211210_8,7,5.255,110.617,sorbose
211210_8,10,4.845,123.357,sorbose
211210_8,9,6.246,118.385,sorbose
211210_9,10,6.112,170.12,sorbose
211210_9,9,5.417,160.022,sorbose
211210_9,9,4.888,147.593,sorbose
211210_10,9,5.624,153.652,sorbose
211210_10,15,7.301,207.407,sorbose
211210_10,9,6.49,125.221,sorbose
211210_10,13,5.957,154.739,sorbose
211210_10,10,5.417,129.26,sorbose
211210_10,12,7.172,229.468,sorbose
211210_10,12,5.876,148.37,sorbose
211210_10,10,6.569,127.551,sorbose
211210_10,16,6.569,206.475,sorbose
211210_10,9,5.817,164.993,sorbose
211210_10,6,4.475,159.866,sorbose
211210_10,10,4.795,167.013,sorbose
211210_10,11,6.49,145.107,sorbose
211210_10,7,5.255,131.901,sorbose
211210_10,6,4.334,133.921,sorbose
211210_10,5,4.155,91.352,sorbose
211210_11,5,5.262,130.503,sorbose
211210_11,7,5.905,131.435,sorbose
211210_11,8,5.255,174.781,sorbose
211210_11,14,4.649,158.313,sorbose
211210_11,19,6.394,219.68,sorbose
211210_11,14,7.62,209.427,sorbose
211210_11,17,8.413,201.969,sorbose
211210_11,12,9.201,226.205,sorbose
211210_11,14,6.067,133.61,sorbose
211210_11,7,4.459,108.908,sorbose
211215_2,9,6.699,170.12,sorbose
211215_2,9,6.229,150.855,sorbose
211215_2,10,5.02,158.313,sorbose
211215_2,9,5.568,160.177,sorbose
211215_2,6,5.236,164.993,sorbose
211215_2,11,6.59,162.197,sorbose
211215_2,4,4.737,116.21,sorbose
211215_2,9,6.202,167.479,sorbose
211215_2,6,5.055,143.553,sorbose
211215_2,6,4.204,93.993,sorbose
211215_3,8,4.737,156.604,sorbose
211215_3,7,4.334,136.718,sorbose
211215_3,9,5.543,164.372,sorbose
211215_3,11,6.067,195.599,sorbose
211215_3,7,6.095,159.09,sorbose
211215_3,7,5.203,121.803,sorbose
211215_3,10,6.317,134.543,sorbose
211215_3,10,5.314,117.297,sorbose
211215_3,7,5.314,112.792,sorbose
211215_3,5,5.992,125.687,sorbose
211215_3,9,6.877,164.061,sorbose
211215_4,4,4.937,109.374,sorbose
211215_4,9,5.236,172.295,sorbose
211215_4,6,5.543,121.026,sorbose
211215_4,7,6.134,199.949,sorbose
211215_4,8,5.417,169.188,sorbose
211215_4,10,5.02,194.978,sorbose
211215_4,9,6.501,167.013,sorbose
211215_4,7,5.255,131.435,sorbose
211215_4,10,5.876,198.085,sorbose
211215_4,9,5.817,162.508,sorbose
211215_4,7,5.282,145.418,sorbose
211215_4,8,6.134,170.897,sorbose
211215_5,11,5.102,166.392,sorbose
211215_5,10,5.524,191.56,sorbose
211215_5,10,5.543,187.987,sorbose
211215_5,12,7.148,189.074,sorbose
211215_5,9,6.185,152.098,sorbose
211215_5,8,5.524,153.497,sorbose
211215_5,10,5.787,156.138,sorbose
211215_5,8,5.411,144.486,sorbose
211215_5,7,5.524,180.685,sorbose
211215_5,10,5.685,167.324,sorbose
211215_5,6,4.888,153.186,sorbose
211215_5,6,5.176,151.011,sorbose
211215_5,7,6.134,159.711,sorbose
211215_6,10,6.134,172.295,sorbose
211215_6,7,6.202,166.858,sorbose
211215_6,7,5.262,141.689,sorbose
211215_6,7,8.363,146.661,sorbose
211215_7,9,6.067,175.402,sorbose
211215_7,7,5.487,153.652,sorbose
211216_2,9,5.957,169.499,sorbose
211216_3,13,4.958,188.764,sorbose
211216_3,11,6.937,182.549,sorbose
211216_3,6,5.543,102.849,sorbose
211216_3,7,5.262,165.615,sorbose
211216_3,11,7.075,157.847,sorbose
211216_3,10,6.067,157.381,sorbose
211216_3,3,3.95,125.532,sorbose
211216_4,5,4.958,183.171,sorbose
211216_4,3,4.459,83.118,sorbose
211216_4,9,6.653,171.363,sorbose
211216_4,5,6.632,138.116,sorbose
211216_4,9,5.763,141.689,sorbose
211216_4,6,5.282,116.365,sorbose
211216_4,7,5.075,156.759,sorbose
211216_4,4,5.787,133.61,sorbose
211216_4,6,5.998,144.33,sorbose
211216_4,4,5.075,114.19,sorbose
211216_4,4,4.459,87.002,sorbose
211216_4,2,3.95,65.562,sorbose
211216_6,12,6.49,191.249,sorbose
211216_6,8,6.049,133.455,sorbose
211216_6,6,4.759,146.661,sorbose
211216_6,8,5.543,151.477,sorbose
211216_6,7,5.075,163.75,sorbose
211216_6,7,5.624,107.665,sorbose
211216_6,3,4.958,96.479,sorbose
211216_6,9,5.928,153.807,sorbose
211216_6,7,4.737,128.173,sorbose
211216_6,8,6.134,130.814,sorbose
211216_6,10,5.817,149.146,sorbose
211216_6,7,5.055,137.96,sorbose
211216_6,7,5.543,139.514,sorbose
211216_7,5,4.467,119.162,sorbose
211216_7,4,5.518,135.319,sorbose
211216_7,5,5.587,136.562,sorbose
211216_7,7,5.574,168.722,sorbose
211216_7,6,5.236,142.311,sorbose
211216_7,3,5.769,114.035,sorbose
211216_7,4,5,105.024,sorbose
211216_7,7,4.958,124.755,sorbose
211216_7,6,6.067,146.039,sorbose
211216_8,9,5.568,140.446,sorbose
211216_8,13,5.262,204.455,sorbose
211216_8,6,5.02,114.19,sorbose
211216_8,4,4.237,109.219,sorbose
211216_8,10,5.321,226.982,sorbose
211216_8,10,5.288,184.569,sorbose
211216_8,13,5.282,191.871,sorbose
211216_8,6,4.824,147.438,sorbose
211216_8,4,4.909,130.503,sorbose
211216_8,6,5.739,138.582,sorbose
211216_8,5,4.079,92.129,sorbose
211216_8,8,5.255,138.582,sorbose
211216_10,7,4.679,135.164,sorbose
211216_10,3,4.649,77.059,sorbose
211216_10,8,6.897,114.812,sorbose
211216_10,4,4.824,126.153,sorbose
211216_11,6,4.937,99.431,sorbose
211216_11,3,3.506,71.311,sorbose
211216_11,6,4.237,155.206,sorbose
211216_11,3,5.102,130.192,sorbose
211216_11,3,5.02,111.238,sorbose
211216_11,7,5.262,137.339,sorbose
211216_11,4,5.02,109.063,sorbose
211216_11,9,5.617,143.087,sorbose
211216_11,6,5.617,117.608,sorbose
211216_11,6,5.102,130.192,sorbose
211216_12,4,4.334,80.011,sorbose
211216_12,5,4.475,142,sorbose
211216_12,5,3.525,132.057,sorbose
211216_12,4,3.164,83.429,sorbose
211216_12,5,4.237,77.836,sorbose
211216_12,2,4.011,74.573,sorbose
211216_12,2,4.467,106.267,sorbose
211216_12,2,4.204,134.543,sorbose
211216_12,3,4.155,82.341,sorbose
211216_12,3,3.651,55.775,sorbose
211216_13,6,5.102,106.578,sorbose
211216_13,4,4.011,83.118,sorbose
211216_13,5,6.049,93.683,sorbose
211216_13,6,4.597,108.442,sorbose
211216_13,6,4.737,149.146,sorbose
211216_13,6,5.048,137.805,sorbose
211216_13,2,5.055,85.604,sorbose
211216_13,6,5.176,104.713,sorbose
211216_13,5,4.795,132.368,sorbose
211216_13,7,5.102,176.335,sorbose
211216_13,7,4.498,147.282,sorbose
211216_13,4,5.763,113.569,sorbose
211216_13,7,5.587,134.387,sorbose
211216_13,8,4.589,115.433,sorbose
211216_18,19,8.31,271.105,sorbose
211216_18,12,7.376,223.72,sorbose
211216_18,11,6.112,181.462,sorbose
211216_18,8,5.36,139.514,sorbose
211216_18,7,4.909,134.543,sorbose
211216_18,9,5.321,134.387,sorbose
211216_18,10,5.321,146.039,sorbose
211216_18,9,7.268,183.326,sorbose
211216_18,9,4.155,105.645,sorbose
211216_19,14,6.399,248.577,sorbose
211216_19,16,6.59,204.61,sorbose
211216_19,17,7.4,152.254,sorbose
211216_19,11,6.59,197.93,sorbose
211216_19,8,7.4,149.457,sorbose
211216_19,14,9.197,192.648,sorbose
211216_19,5,5.487,108.287,sorbose
211216_19,5,6.312,188.919,sorbose
211216_19,6,5.685,111.86,sorbose
211216_19,11,5.739,135.475,sorbose
211216_19,16,8.735,306.838,sorbose
220112_3,16,7.4,184.724,VM
220112_3,14,5.236,158.157,VM
220112_3,13,5.905,126.619,VM
220112_3,10,5.102,156.759,VM
220112_3,13,5.946,210.669,VM
220112_4,12,5.468,173.694,VM
220112_4,14,6.632,191.871,VM
220112_4,17,7.62,245.781,VM
220112_4,8,5.817,123.046,VM
220112_4,15,4.958,187.676,VM
220112_4,17,7.804,228.691,VM
220112_5,12,6.004,131.28,VM
220112_5,12,4.737,149.923,VM
220112_5,10,5.543,164.372,VM
220112_5,12,4.986,154.895,VM
220112_7,10,5.282,162.974,VM
220112_7,15,6.268,219.836,VM
220112_7,12,3.95,167.013,VM
220112_7,12,7.301,167.324,VM
220112_7,21,5.624,234.284,VM
220112_9,18,6.832,179.442,VM
220112_9,20,6.356,208.028,VM
220112_9,17,5.468,189.851,VM
220112_9,11,5.321,164.216,VM
220112_9,16,6.912,236.615,VM
220112_10,26,7.404,211.602,VM
220112_10,14,6.501,113.724,VM
220112_10,14,6.632,143.864,VM
220112_10,9,5.524,121.337,VM
220112_12,14,5.763,146.661,VM
220112_12,9,5.518,117.764,VM
220112_12,23,8.547,172.451,VM
220112_12,9,4.701,131.591,VM
220112_12,13,5.787,174.936,VM
220112_12,7,4.278,123.201,VM
220112_13,10,5.36,133.144,VM
220112_13,9,6.897,111.549,VM
220112_13,16,6.394,146.195,VM
