Plate2;mat;Line;generation;plate;Image;Area
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;2,917
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;5,33
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;4,517
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;5,285
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;3,733
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143518-235;2,648
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143700-417;4,521
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143700-417;4,329
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143700-417;4,077
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143858-677;4,13
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143858-677;3,545
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-143858-677;7,006
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-144057-813;3,296
2489 a line 36 G5 Rep3;a;line36;G5;Rep3;20210514-144057-813;3,565
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144326-49;4,19
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144326-49;4,195
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144612-27;5,212
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144612-27;3,203
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144727-94;6,55
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-144906-769;2,478
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-145026-818;3,406
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-145026-818;5,313
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-145141-772;4,522
2489 A line 10 G40 Rep3;A;line10;G40;Rep3;20210514-145141-772;1,906
2489 a line 36 G5 Rep2;a;line36;G5;Rep2;20210514-145404-218;4,489
2489 a line 36 G5 Rep2;a;line36;G5;Rep2;20210514-145404-218;2,335
2489 a line 36 G5 Rep2;a;line36;G5;Rep2;20210514-145404-218;5,113
2489 a line 36 G5 Rep2;a;line36;G5;Rep2;20210514-145404-218;3,417
