Chromosome,Start,End,Length (bp),Methods
Supercontig_12.1,1,4,4,Blast
Supercontig_12.1,5,100,96,"Blast,Period"
Supercontig_12.1,101,300,200,"Blast,Depth,Period"
Supercontig_12.1,301,369,69,"Blast,Period"
Supercontig_12.1,370,600,231,Blast
Supercontig_12.1,801,1000,200,Blast
Supercontig_12.1,2501,2800,300,Depth
Supercontig_12.1,2851,3000,150,Het
Supercontig_12.1,3901,4100,200,Het
Supercontig_12.1,4751,5095,345,Depth
Supercontig_12.1,5096,5250,155,"Depth,Period"
Supercontig_12.1,5251,5420,170,Period
Supercontig_12.1,6551,6750,200,Het
Supercontig_12.1,7851,8067,217,Depth
Supercontig_12.1,8068,8400,333,"Depth,Period"
Supercontig_12.1,8401,8600,200,"Blast,Depth,Period"
Supercontig_12.1,8601,8650,50,"Depth,Period"
Supercontig_12.1,8651,9450,800,Period
Supercontig_12.1,9451,9600,150,"Het,Period"
Supercontig_12.1,9601,11000,1400,Period
Supercontig_12.1,11001,11200,200,"Blast,Period"
Supercontig_12.1,11201,11400,200,Period
Supercontig_12.1,11401,11600,200,"Blast,Period"
Supercontig_12.1,11601,11800,200,Period
Supercontig_12.1,11801,12000,200,"Blast,Period"
Supercontig_12.1,12001,12254,254,Period
Supercontig_12.1,12401,12600,200,Blast
Supercontig_12.1,12621,13050,430,Period
Supercontig_12.1,13051,13400,350,"Depth,Period"
Supercontig_12.1,13401,13467,67,Period
Supercontig_12.1,13951,14000,50,Depth
Supercontig_12.1,14001,14100,100,"Blast,Depth"
Supercontig_12.1,14101,14200,100,Blast
Supercontig_12.1,14451,14600,150,"Depth,Het"
Supercontig_12.1,14601,14650,50,Het
Supercontig_12.1,15151,15250,100,Depth
Supercontig_12.1,15701,15950,250,Depth
Supercontig_12.1,17601,17700,100,Depth
Supercontig_12.1,18651,18800,150,Het
Supercontig_12.1,19301,19500,200,Het
Supercontig_12.1,21101,21131,31,Depth
Supercontig_12.1,21132,21150,19,"Depth,Period"
Supercontig_12.1,21151,21200,50,"Depth,Het,Period"
Supercontig_12.1,21201,22050,850,"Blast,Depth,Het,Period"
Supercontig_12.1,22051,22196,146,"Blast,Depth,Period"
Supercontig_12.1,22197,22200,4,"Blast,Depth"
Supercontig_12.1,22201,22400,200,Blast
Supercontig_12.1,22401,22635,235,"Blast,Het"
Supercontig_12.1,22636,22700,65,"Blast,Het,Period"
Supercontig_12.1,22701,22927,227,"Blast,Depth,Het,Period"
Supercontig_12.1,22928,23050,123,"Blast,Depth,Het"
Supercontig_12.1,23051,23090,40,"Blast,Het"
Supercontig_12.1,23091,23300,210,"Blast,Het,Period"
Supercontig_12.1,23301,23400,100,"Blast,Depth,Het,Period"
Supercontig_12.1,23401,23462,62,"Blast,Het,Period"
Supercontig_12.1,23463,23600,138,"Blast,Het"
Supercontig_12.1,23601,24000,400,Blast
Supercontig_12.1,24001,24266,266,"Blast,Het"
Supercontig_12.1,24267,24500,234,"Blast,Het,Period"
Supercontig_12.1,24501,24892,392,"Blast,Period"
Supercontig_12.1,24893,25100,208,Blast
Supercontig_12.1,25101,25350,250,"Blast,Het"
Supercontig_12.1,25351,26400,1050,"Blast,Depth,Het"
Supercontig_12.1,26401,27468,1068,"Blast,Het"
Supercontig_12.1,27469,27770,302,"Blast,Het,Period"
Supercontig_12.1,27771,27800,30,"Blast,Het"
Supercontig_12.1,27801,28000,200,Blast
Supercontig_12.1,28001,28100,100,"Blast,Depth"
Supercontig_12.1,28101,28318,218,"Blast,Depth,Het"
Supercontig_12.1,28319,28500,182,"Blast,Depth,Het,Period"
Supercontig_12.1,28501,28815,315,"Blast,Het,Period"
Supercontig_12.1,28816,29450,635,"Blast,Het"
Supercontig_12.1,29451,29678,228,"Blast,Depth,Het"
Supercontig_12.1,29679,29900,222,"Blast,Depth,Het,Period"
Supercontig_12.1,29901,30200,300,"Blast,Het,Period"
Supercontig_12.1,30201,30650,450,"Blast,Depth,Het,Period"
Supercontig_12.1,30651,31400,750,"Blast,Het,Period"
Supercontig_12.1,31401,32150,750,"Blast,Depth,Het,Period"
Supercontig_12.1,32151,33150,1000,"Blast,Het,Period"
Supercontig_12.1,33151,33250,100,"Blast,Depth,Het,Period"
Supercontig_12.1,33251,33300,50,"Blast,Het,Period"
Supercontig_12.1,33301,33550,250,"Blast,Period"
Supercontig_12.1,33551,33600,50,"Blast,Depth,Period"
Supercontig_12.1,33601,33850,250,"Blast,Depth,Het,Period"
Supercontig_12.1,33851,33950,100,"Blast,Het,Period"
Supercontig_12.1,33951,34000,50,"Blast,Period"
Supercontig_12.1,34001,34014,14,Period
Supercontig_12.1,34851,35550,700,Depth
Supercontig_12.1,37801,37900,100,Blast
Supercontig_12.1,37901,38050,150,"Blast,Depth"
Supercontig_12.1,38051,38400,350,Blast
Supercontig_12.1,39751,39850,100,Depth
Supercontig_12.1,40351,40450,100,Depth
Supercontig_12.1,40855,41800,946,Period
Supercontig_12.1,41801,41850,50,"Blast,Period"
Supercontig_12.1,41851,42200,350,"Blast,Het,Period"
Supercontig_12.1,42201,42250,50,"Het,Period"
Supercontig_12.1,42251,42900,650,Period
Supercontig_12.1,42901,43100,200,"Het,Period"
Supercontig_12.1,43101,43744,644,Period
Supercontig_12.1,44842,45150,309,Period
Supercontig_12.1,45151,45450,300,"Depth,Period"
Supercontig_12.1,45451,45574,124,Period
Supercontig_12.1,45802,47912,2111,Period
Supercontig_12.1,48001,48100,100,Depth
Supercontig_12.1,48283,49100,818,Period
Supercontig_12.1,49101,49222,122,"Depth,Period"
Supercontig_12.1,49223,49429,207,Depth
Supercontig_12.1,49430,49500,71,"Depth,Period"
Supercontig_12.1,49501,49750,250,Period
Supercontig_12.1,49751,50200,450,"Het,Period"
Supercontig_12.1,50201,50750,550,Period
Supercontig_12.1,50751,51050,300,"Depth,Period"
Supercontig_12.1,51051,51069,19,Period
Supercontig_12.1,51227,52200,974,Period
